省（区、市）,市（区）,县,项目名称,所属基地,项目类型,项目阶段,核准容量（MW）,核准日期（年/月/日）,开工日期（年/月/日）,累计吊装容量（MW）,首次并网日期（年/月/日）,全部并网日期（年/月/日）,并网容量（MW）,项目公司,所属集团,备注,并网年份
河北省,张家口市,沽源县,中广核沽源九连城风电项目,,陆上集中式,在建,50,2017/11/20,2019/10/18,,,,,沽源县中广核新能源发电有限公司,中广核,,2019
河北省,张家口市,市辖区,中广核张北新胜风电场5万千瓦工程项目,,陆上集中式,在建,50,2017/12/25,2019/7/24,,,,,中广核新能源发电张家口张北有限公司,中广核,,2019
河北省,张家口市,张北县,中国水电顾问集团张北水泉风电场项目,,陆上集中式,在建,100,2016/12/12,,,,,,中国水电顾问集团风电张北有限公司,中水顾问,,2019
河北省,张家口市,万全县,中国水电万全风电场工程,,陆上集中式,在建,49.5,2016/12/29,2019/4/1,,,,,中电建张家口风电开发有限责任公司,,,2019
河北省,张家口市,万全县,中节能洗马林风电场（二期）项目,,陆上集中式,在建,50,2017/4/21,2020/4/20,,,,,中节能张家口风力发电有限公司,中节能,,2019
河北省,张家口市,万全县,中节能洗马林风电场（一期）项目,,陆上集中式,在建,50,2016/11/30,2020/4/20,,,,,中节能张家口风力发电有限公司,中节能,,2019
河北省,张家口市,涿鹿县,涿鹿瑞能风电场项目,,陆上集中式,在建,100,,,,,,,涿鹿瑞能风电有限公司,其它投资企业,,2019
河北省,张家口市,张北县,张北风电扶贫示范工程项目,,陆上集中式,在建,49.5,,2019/8/1,,,,,张北华阳新能源开发有限公司,其它投资企业,,2019
河北省,张家口市,张北县,张北旭弘新能源科技有限公司100MW风电平价上网示范项目,,陆上集中式,在建,100,,2020/6/30,,,,,张北旭弘新能源科技有限公司,其它投资企业,,2019
河北省,张家口市,沽源县,张家口“奥运风光城”多能互补集成优化示范工程,,陆上集中式,在建,150,,2020/3/19,,,,,秦皇岛森源投资集团有限公司,其它投资企业,,2019
河北省,张家口市,张北县,张家口平价上网风电检测认证实证基地项目,,陆上集中式,在建,50,,2020/4/1,,,,,张北鉴衡可再生能源技术服务有限公司,其它投资企业,,2019
河北省,张家口市,张北县,张家口张北风光热储输多能互补集成优化示范工程项目150MW风力发电项目,,陆上集中式,在建,150,2018/6/21,2020/3/15,,,,,张北华绿瑞能源开发有限公司,其它投资企业,,2019
河北省,承德市,围场满族蒙古族自治县,察哈尔围场德源风电场项目,,陆上集中式,在建,49.5,2015/12/31,2020/3/1,,,,,围场满族蒙古族自治县腾源风电有限公司,其它投资企业,,2019
河北省,承德市,围场满族蒙古族自治县,察哈尔围场阴河风电场项目,,陆上集中式,在建,48,2015/11/25,2020/3/1,,,,,围场满族蒙古族自治县腾源风电有限公司,其它投资企业,,2019
河北省,承德市,围场满族蒙古族自治县,百花坡风电工程项目,,陆上集中式,已并网,49.5,2011/1/11,2011/1/1,49.5,2012/2/10,2012/4/10,49.5,华润电力风能（承德围场）有限公司,华润,,2012
河北省,张家口市,张北县,北京博望华科科技有限公司张北海子洼49.5兆瓦风电场工程项目,,陆上集中式,已并网,49.5,2013/9/23,2013/9/1,50,2013/11/8,2013/12/31,49.5,北京博望华科科技有限公司,冀北电力有限公司,,2013
河北省,邢台市,南宫市,北京航天中源南宫300MW风电项目,,陆上集中式,已并网,300,2017/10/20,2018/4/1,100,2019/4/30,2019/9/17,100,南宫市航科新能源开发有限公司,,,2019
河北省,张家口市,张北县,北京中科捷高张北郝家营乡风电场,,陆上集中式,已并网,100,2016/11/30,2018/12/1,68,2019/6/10,2019/12/6,100,张北中科捷高新能源科技有限公司,其它投资企业,,2019
河北省,张家口市,张北县,博德万全玉龙风电场工程36MW,,陆上集中式,已并网,36,2006/4/28,2008/12/1,36,,2009/10/1,36,张家口博德玉龙电力开发有限公司,其它投资企业,,2009
河北省,衡水市,故城县,灿烂故城县风电项目（80MW),,陆上集中式,已并网,80,2016/12/30,2018/2/1,85.8,2018/12/15,2018/12/27,80,故城县灿烂新能源科技开发有限公司,其它投资企业,,2018
河北省,沧州市,沧县,沧县风电一期项目工程（40MW）,,陆上集中式,已并网,40,2016/12/29,2018/7/1,40,2019/7/30,2019/7/30,40,洁远（沧县）新能源有限公司,,,2019
河北省,沧州市,沧县,沧县一期项目工程（60MW）,,陆上集中式,已并网,60,2016/12/27,2017/10/1,60,2019/7/30,2019/7/30,60,洁远（沧县）新能源有限公司,,,2019
河北省,秦皇岛市,昌黎县,昌黎大滩风电场48MW工程,,陆上集中式,已并网,48,2011/12/30,2013/1/1,48,2015/11/17,2015/12/7,48,昌黎新天风能有限公司,河北建投,,2015
河北省,承德市,围场满族蒙古族自治县,承德围场御道口牧场风电场,,陆上集中式,已并网,150,2008/9/2,2011/1/1,150,,2011/1/10,150,新天绿色能源围场有限公司,河北建投,,2011
河北省,张家口市,赤城县,赤城长沟门49.5兆瓦风电场,,陆上集中式,已并网,49.5,2013/1/21,2013/3/1,42,2014/12/23,2015/1/1,49.5,国华（赤城）风电有限公司,国华投资,,2015
河北省,张家口市,崇礼县,崇礼清三营风电场二期工程项目,,陆上集中式,已并网,49.3,2007/12/12,2009/12/1,49.3,2008/6/1,2008/11/12,49.3,崇礼建投华实风能有限公司,河北建投,,2008
