FID_1,Lat,Lon,built_rati,2015power
541,23.75,106.5625,0.00957557,44205.92245
542,23.75,106.875,0.0201531,154297.7412
543,23.75,107.1875,0.00255102,13942.38029
544,23.75,107.5,0,0
545,23.75,107.8125,0.00102041,6491.192041
546,23.75,108.125,0.0209627,136092.1124
547,23.75,108.4375,0.000510204,3539.301475
548,23.75,108.75,0.0155612,95754.62265
549,23.75,109.0625,0.0349379,206152.7105
550,23.75,109.375,0.0298469,163086.4538
551,23.75,109.6875,0.00698758,26289.64475
552,23.75,110,0,0
553,23.75,110.3125,0.00414079,6001.030363
554,23.75,110.625,0.00637755,8778.644609
555,23.75,110.9375,0.00102041,81.70325982
556,23.75,111.25,0,0
557,23.75,111.5625,0.000765306,397.6289249
558,23.75,111.875,0.00621118,13321.38327
559,23.75,112.1875,0.00153061,2625.058293
560,23.75,112.5,0.00750518,9981.174794
561,23.75,112.8125,0.00739796,13028.84401
562,23.75,113.125,0.0913265,343196.9
563,23.75,113.4375,0.0178571,58757.6313
564,23.75,113.75,0,0
565,23.75,114.0625,0.0010352,741.2616422
566,23.75,114.375,0.0155612,33603.55087
567,23.75,114.6875,0.0965321,423810.1831
568,23.75,115,0.00280612,2739.585043
569,23.75,115.3125,0.00816326,23625.59811
570,23.75,115.625,0.00310559,20301.67273
571,23.75,115.9375,0.00178571,3381.856794
572,23.75,116.25,0.0807453,272878.6566
573,23.75,116.5625,0.147959,610585.1056
574,23.75,116.875,0.0732402,352390.48
575,23.75,117.1875,0.0877551,384942.3752
576,23.75,117.5,0.0813776,246801.3058
579,23.75,119.6875,0.00102041,35.5023287
581,23.75,120.3125,0.0706633,414117.1819
582,23.75,120.625,0.139234,724663.2217
583,23.75,120.9375,0.00331633,339.9715636
584,23.75,121.25,0,0
585,23.75,121.5625,0.00983437,7800.576259
586,24,97.5,0.00025974,10.37296534
587,24,97.8125,0.0382082,59440.59799
588,24,98.125,0.00571429,901.929505
590,24,98.75,0,0
591,24,99.0625,0.00207792,774.8620096
592,24,99.375,0.0102767,9605.172533
593,24,99.6875,0,0
594,24,100,0.0213439,20161.54932
595,24,100.3125,0,0
596,24,100.625,0.0012987,190.5745971
597,24,100.9375,0.000527009,106.551623
598,24,101.25,0.00181818,405.818376
599,24,101.5625,0.00395257,322.5567654
600,24,101.875,0.0106494,4386.751433
601,24,102.1875,0.0202899,7654.54921
602,24,102.5,0.00493506,12322.46161
603,24,102.8125,0.0350649,94489.46142
604,24,103.125,0.00421607,20267.1091
605,24,103.4375,0.00987013,107729.1131
606,24,103.75,0,0
607,24,104.0625,0.00649351,117103.0762
608,24,104.375,0,0
609,24,104.6875,0.00051948,5167.829507
610,24,105,0.00987013,83770.78396
611,24,105.3125,0,0
612,24,105.625,0,0
613,24,105.9375,0.000527009,878.0933839
614,24,106.25,0,0
615,24,106.5625,0.0329381,144782.0602
616,24,106.875,0,0
617,24,107.1875,0,0
618,24,107.5,0,0
619,24,107.8125,0,0
620,24,108.125,0.0057971,32705.80313
621,24,108.4375,0.0012987,6407.122814
622,24,108.75,0.0038961,23984.28641
623,24,109.0625,0.000527009,2577.895749
624,24,109.375,0.00545455,33453.31833
625,24,109.6875,0.0110672,55412.57396
626,24,110,0.00441558,10123.30177
627,24,110.3125,0,0
628,24,110.625,0,0
629,24,110.9375,0,0
630,24,111.25,0,0
631,24,111.5625,0.00441558,6583.781323
632,24,111.875,0.00922266,19084.34059
633,24,112.1875,0.0296104,128080.3774
634,24,112.5,0,0
635,24,112.8125,0.0127273,37768.31557
636,24,113.125,0.00051948,1042.878749
637,24,113.4375,0.000527009,660.2571835
638,24,113.75,0.0012987,4366.070569
639,24,114.0625,0.00685112,5212.729701
640,24,114.375,0.00025974,131.137065
641,24,114.6875,0.00184453,4964.677739
642,24,115,0.000779221,2271.971046
643,24,115.3125,0.0150649,71589.24768
644,24,115.625,0.027141,248526.6901
645,24,115.9375,0.0119481,100667.7398
646,24,116.25,0.00606061,10472.89772
647,24,116.5625,0.00363636,5541.340822
648,24,116.875,0.0160738,36730.49354
649,24,117.1875,0.0150649,30440.2326
650,24,117.5,0.067013,224744.192
651,24,117.8125,0.0748353,208049.0114
652,24,120.3125,0.034026,69836.05634
653,24,120.625,0.347299,2277735.833
654,24,120.9375,0.0145455,7743.680708
655,24,121.25,0,0
656,24,121.5625,0.056917,52005.3657
657,24.25,97.8125,0.0173395,36692.05786
658,24.25,98.125,0.00663265,5245.907974
659,24.25,98.4375,0.00408163,2827.958692
660,24.25,98.75,0,0
661,24.25,99.0625,0.00357143,1824.229587
662,24.25,99.375,0.00414079,5038.897185
663,24.25,99.6875,0,0
664,24.25,100,0.0010352,340.0078272
665,24.25,100.3125,0,0
666,24.25,100.625,0,0
667,24.25,100.9375,0.00543478,2400.147381
668,24.25,101.25,0,0
669,24.25,101.5625,0,0
670,24.25,101.875,0,0
671,24.25,102.1875,0.00336439,2054.247599
672,24.25,102.5,0.11199,397715.3729
673,24.25,102.8125,0.126786,487161.3473
674,24.25,103.125,0.0111284,36179.13227
675,24.25,103.4375,0.0155612,125510.4342
676,24.25,103.75,0.000258799,1419.932869
677,24.25,104.0625,0,0
678,24.25,104.375,0,0
679,24.25,104.6875,0,0
680,24.25,105,0,0
681,24.25,105.3125,0,0
682,24.25,105.625,0,0
683,24.25,105.9375,0,0
684,24.25,106.25,0.00127551,3886.768001
685,24.25,106.5625,0.0015528,2512.199188
686,24.25,106.875,0,0
687,24.25,107.1875,0.00127551,4902.356996
688,24.25,107.5,0,0
689,24.25,107.8125,0,0
690,24.25,108.125,0,0
691,24.25,108.4375,0.00102041,5285.044462
692,24.25,108.75,0,0
693,24.25,109.0625,0.0010352,6555.437126
694,24.25,109.375,0.211735,1433723.588
695,24.25,109.6875,0.00646998,39672.68289
696,24.25,110,0.0147959,82947.80545
697,24.25,110.3125,0,0
698,24.25,110.625,0.00535714,4076.853906
699,24.25,110.9375,0.00586735,1957.459733
700,24.25,111.25,0.00698758,15754.11751
701,24.25,111.5625,0.015051,18513.67121
702,24.25,111.875,0,0
703,24.25,112.1875,0,0
704,24.25,112.5,0.00258799,4125.876919
705,24.25,112.8125,0.00867347,31623.72966
706,24.25,113.125,0.00561224,24112.10074
707,24.25,113.4375,0.0323499,145548.4097
708,24.25,113.75,0.00663265,28845.97156
709,24.25,114.0625,0.010352,26550.47161
710,24.25,114.375,0.00586735,10299.45671
711,24.25,114.6875,0.00439959,10148.59959
712,24.25,115,0.00331633,18324.3582
713,24.25,115.3125,0.00459184,28365.60923
714,24.25,115.625,0.0287267,284798.4931
715,24.25,115.9375,0.0252551,160303.6724
716,24.25,116.25,0.059265,158218.7037
717,24.25,116.5625,0.0117347,23403.70504
718,24.25,116.875,0.00517598,10650.24448
719,24.25,117.1875,0.00816326,13602.47361
720,24.25,117.5,0.0188776,33639.24891
721,24.25,117.8125,0.0639234,298755.7263
722,24.25,118.125,0.0329082,38058.04009
723,24.25,120.3125,0.000255102,7.106950649
724,24.25,120.625,0.395445,2691417.75
725,24.25,120.9375,0.0170918,9183.469006
727,24.25,121.5625,0.000776398,0
728,24.25,121.875,0,0
730,24.5,97.8125,0,0
731,24.5,98.125,0.00051948,78.10009073
732,24.5,98.4375,0.0387013,71395.59127
733,24.5,98.75,0.00922266,8718.423423
734,24.5,99.0625,0.00103896,479.7990111
735,24.5,99.375,0.0137022,11685.36804
736,24.5,99.6875,0.0012987,1022.565653
737,24.5,100,0.0197628,17174.39869
738,24.5,100.3125,0.00155844,571.8229139
739,24.5,100.625,0,0
740,24.5,100.9375,0.00685112,1092.397622
